Company,Chief Executive,CEO Position,Business Enquiry,Business Contact Person,Year of Incorporation,Office Address,PostCode,City/Town,State,Country,Telephone,Fax,Email,Website,Raw Materials Used,Production Process,Products Manufactured,Miscellaneous data 1,Miscellaneous data 2,Miscellaneous data 3,,
"
Alpha Connection Sdn Bhd(351379-X)",Patrick Lim,Group CEO,Reenie Goh,Management Trainee,1995,"14 & 16, Lorong IKS Juru 3, Taman Perindustrian Ringan Juru

",14100,Simpang Ampat,Pulau Pinang,Malaysia,604-501 5588,604-501 5589,"
email@alpha-connection.com.my
,","Thailand, Sri Lanka, Vietnam, Indonesia
",None,None,None,,,,,
"
Ampacet Malaysia Sdn Bhd(274876-A)",Yves Carette,President & Chief Executive Officer,Ajay Bijwe,None,1993,"Suite E-07-12, Level 7, Block E, Plaza Mon't Kiara, 2, Jalan Mon't Kiara


",50480,Kuala Lumpur,Wilayah Persekutuan,Malaysia,603-6203 1203,603-6203 3892,"
Saowanee.Preechanaruechitkul@ampacet.com
,","
www.ampacet.com,","Ampacet
","ISO 9001, HACCP & GMP
","Additives, Masterbatches
",,,,,
"
APN Plastics Asia Pacific (M) Sdn Bhd(1161271-W)",Ian Hoult,Managing Director,Kenny Gek,Regional Sales Manager,2015,"Suite 3.3B, Level 3, Menara Pelangi, No. 2, Jalan Kuning,
Taman Pelangi

",80400,Johor Bahru,Johor,Malaysia,607-333 9188,607-339 1188,"
kenny@apnplastics.com;chelcy@apnplastics.com
,","
www.apnplastics.com,","Trading In Plastic Resin
","Trading In Plastic Resin
",None,,,,,
"
Arah Johan Sdn Bhd",Angus CS Ng,Executive Director,None,None,1989,"5-2, Jalan Sri Bintang 3, Sri Bintang Heights, Kepong


",52100,Kuala Lumpur,Wilayah Persekutuan,Malaysia,603-6275 2502,603-6275 2539,"
angus@arahjohan.com,auyong@arahjohan.com
,","Additives, Others, Resins
","China, Vietnam, Mayanmar, Singapore
",None,None,None,None,,,
"
Arburg Sdn Bhd(223845 D)",David Chan,Managing Director Asean Region,None,None,1992,"35, Jalan PJS 11/24, Bandar Sunway Industrial Park

",46150,Petaling Jaya,Selangor,Malaysia,603-5636 6213,603-5636 6215,"
malaysia@arburg.com
,","
www.arburg.com.my,","ARBURG
","ISO 9001 & ISO 14001
","Machinery Supplier, Equipment Supplier
","Machinery Supplier: Injection Moulding Machinery
",None,,,
"
ASB Machinery (M) Sdn Bhd(208943 A)",KK Sim,KK Sim,None,None,1991,"28, Jalan Impian Gemilang 1/9, Saujana Impian

",43000,Kajang,Selangor,Malaysia,609 - 473 7686,"
asbkl.28@gmail.com
,","Machinery Supplier, Equipment Supplier
","Machinery Supplier: NISSEI Plastic Injection Moulding Machines, STAR Robotic Arm, Ancillary Equipment
",None,None,None,None,None,,,
"
Baerlocher (M) Sdn Bhd",Malpaso Cheng Keung Ying,Managing Director,Brenda Lee May Siang,Business Manager,1992,"Lot 635 & 660, Kaw Perindustrian Tuanku Jaafar, 
Sungai Gadut
",71450,Seremban,Negeri Sembilan,Malaysia,606-678 0240,606-678 0239/4429,"
bmy@baerlocher.com
,","
www.baerlocher.com,","BAEROPAN, BAEROPOL, CEASIT, ZINCUM
","ISO 9002
","Additives, Stabiliser
",,,,,
"
Behn Meyer Malaysia Sdn Bhd(1205383-K)",Badar Bin Basir,Executive DirectorÂ ,Nor Aini Din,Senior Sales Manager,2016,"No. 5, Jalan TP2, Taman Perindustrian Sime UEP


",47600,Subang Jaya,Selangor,Malaysia,603-8026 3333,603-8026 3366/3377,"
badar@behnmeyer.com.my,noraini@behnmeyer.com.my
,","
www.behnmeyer.com.my,","ISO 9001 : 2015
","Trading (Resin & Additives)
","Plastics Raw Materials, Additives for Plastics, Polyurethane Chemicals and Additives, High Performance Engineering Plastics, Masterbatches for Polyolefins, Synthetic Elastomers, Rubber Chemicals and Later Chemicals, Additives and Fillers for Rubber and Latices, Emulsions and Dispersion of Latex Chemicals

",,,,,
"
Belges Materials Supply Sdn Bhd(341141-M)",David Lim,General Manager,SK Lee,Assistant Business Manager,1995,"3A, Lot 765, Jalan Subang 4, Sungai Penaga Industrial Park

",47610,Subang Jaya,Selangor,Malaysia,603-5632 1136 (Hunting),603-5632 1125,"
sale@belgesmalaysia.com
,","
www.belgesmalaysia.com; davidlim@belgesmalaysia.com; sale@belgesmalaysia.com,","A.SCHULMAN, KUNDING
","ISO 9001
","Additives, Compounds, Masterbatches, Resins
",,,,,
"
Bold Vision Sdn Bhd(215908A)",Sam Loh,Managing Director,Saravana Rao,Sales & Marketing Manager,1991,"44, Jalan Anggerik Mokara 31/47,
Seksyen 31, Shah Alam

",40460,Shah Alam,Selangor,Malaysia,603-5121 0908,603-5121 0907,"
info@boldvision.com.my
,","
www.boldvision.com.my,","B-COMPOUND
","ISO/TS16949 : 2009, ISO 9001 : 2008
","Compounds, Resins
",,,,,
"
Borouge Pte Ltd",William Yau,Chief Executive Officer,Frederick Fong/Tan Thuan Sia,Sales Manager,1998,"1 George Street, #18 - 01
",491,Singapore,Singapore,Singapore,65-6275 4100,65-6377 1233,"
info@borouge.com
,","
www.borouge.com,","BORSTAR
","ISO9001, ISO14001
","Compounds, Resins Distributor
",,,,,
"
Bina Plastic Industries Sdn Bhd(54840-T)",Ong Ken Sim,Managing Director,Ong Yoong Han,Manager,1973,"Lot 4844, 
Balakong New Village Industrial Estate, 
Seri Kembangan
",43300,Selangor,Malaysia,603-8961 2211,603-89612313,"
info@binaplast.com
,","
www.binaplast.com,","BBB, KKK, WWW
","ABS, PE, PVC, PPR, HDPE
","Injection Moulding, Pipe Extrusion , 
","PVC, PE, ABS, PPR Pipes and Fittings, HDPE Corrugated Pipes, PVC Gaskets, PVC Soft Hoses and Tubes, PVC Compounds
,Gardening, Industrial and Construction",,,,,
"
Binsen Plastic Industry Sdn Bhd(65806-T)",Chuah Kay Buan,Managing Director,Chuah Ton Hua,Marketing Director,1980,"493, Simpang Juru, 
MK 13, Simpang Ampat, 
Seberang Perai
",14100,Pulau Pinang,Malaysia,604-507 6869/1081,604-507 1253,"
binsen@pd.jaring.my
,","BINSEN
","ISO 9001 : 2000
","PET, PP, PVC, LDPE, HDPE
","Blow Moulding, Injection Moulding, Stretch Blow Moulding , Silkscreen-printing
","PET Container for Cookies/Candy, Automotive Products, Houseware Products, Premiun Products, Medical Products, Gardening Products, Jerrycans- 10L to 25L and Products Made to Customers Specifications
,Containers and Bottles,Containers and Bottles,Furniture,Gardening, Houseware, Medical, Toys, Games, Sports",,,,,
"
Biogreen Equation (M) Sdn Bhd",Lloyd Sebastian Culas,Executive Director,Madaiheri Rajesh,"Head, Research and Development",2006,"Lot 7441, Jalan Arang, Pandamaran, Port Klang

",42000,Selangor,Malaysia,603-3165 022,603-3165 1225,"
contact@beq.com.my
,","
www.beq.com.my,","TBP
","PE
","Film Blowing/Film Extrusion 
","Packaging, Pots, Mulch Packaging, Bags, Resins, Mulch Films, Agricultural,Films and Bags,Gardening, OEM Manufacturing",,,,,
"
Blowing & Injection Products Sdn Bhd(187194-X)",Cha Boo Khee,Managing Director,Chia Kok Wee,Manager,,"Plo 257, Jalan Firma 3, Tebrau Industrial IV, Johor Bahru

",81100,Johor,Malaysia,"607-351 0292, 354 2760",607-354 1871,"
blowinject@yahoo.com
,","ABS, PE, PP, PS, HDPE
","Blow Moulding, Injection Moulding 
","Bottles (250ml to 5L), Food and Beverages Containers, Made to Customers Specifications
,Bathroom/Toilet,Children,Containers and Bottles,Containers and Bottles, Houseware, OEM Manufacturing",None,None,None,,,,
"
Boon Plastic Industries Sdn Bhd",Sia Ah Boon,Director,None,None,2003,"Lot 4976, Jalan Kenangan, Pekan Meru, Klang

",41050,Selangor,Malaysia,603-3392 6867,603-3392 9278,"Recycling
","Recycled Resins - LDPE, HDPE
",None,None,None,None,None,None,,,
"
Borneo Plastics Sdn Bhd(1139450-W)",Michelle Pang,Managing Director,Michelle Pang,Managing Director,2015,"Ground Floor, Lot 345-347, Block D, Wisma Nation Horizon, Jalan Petanak


",Kuching,Sarawak,6012-898 3866,6082-230 814,"
borneoplastics@gmail.com
,","
www.borneoplastics.com.my,","PE, PP
","Film Blowing/Film Extrusion 
","Films and Bags
,Films and Bags",None,None,,,,,
"
Borneon Corporation Sdn Bhd",Hii How Ee,Director,Lilly Cguo,Sales Executive,1973,"Lot 805, Block 7 MTLD, 
Demak Laut Industrial Estate, Sejinkat, 
Kuching
",93050,Kuching,Sarawak,Malaysia,6082-433 930,6082-433 908,"PE, PVC
","Pipe Extrusion
","Industrial and Construction
, Industrial and Construction",None,None,,,,,
"
BP Plastics Sdn Bhd(221104-W)",Lim Chun Yow,Managing Director,Tan See Khim,Executive Director,1991,"5A, Jalan Wawasan 2, Kawasan Perindustrian Sri Gading, Batu Pahat

",83300,Johor,Malaysia,607-455 7633,607-455 7699,"
marketing@bpplas.com
,","
www.bpplas.com,","INFINITY, R-EDGE, HILLPLUS, PRIORITY
","ISO 9001 : 2015, ISO 14001 : 2015, OSHAS 18001 : 2007, ISO 22000 : 2005
","LLDPE, LDPE, HDPE, mLLDPE
","Cast Extrusion, Film Blowing/Film Extrusion , Printing and Cutting
",,,,,
"
Brion Plastic Industries Sdn Bhd",Tan Ah Chang,Managing Director,Tan Teong Yau,General Manager,1986,"Lot 2523, Lorong Perusahaan Baru 2, Perai Industrial Estate, Seberang Perai


",13600,Pulau Pinang,Malaysia,604-397 7035/7704,604-390 4977,"
bplastic@tm.net.my
,","
www.billionplastic.com,","Recycling
","Recycled Plastic Resin - HIPS, ABS, PP, LDPE, HDPE
","Indonesia, Hong Kong, China
",None,,,,,
"
Buteline Malaysia Sdn Bhd(246097-W)",David Picton,Chairman,Alex Pang,Marketing Manager,1992,"55-6M, Plaza Damansara, Medan Setia Satu, Damansara Heights


",50490,Selangor,Malaysia,603-2094 7195,603-2093 4223,"
sales@buteline.com.my
,","
www.buteline.com,","BUTELINE
","AS 2642, AS 1460.1, MS 1058
","PE, PB
","Injection Moulding, Pipe Extrusion , 
",,,,,
"
C.M LimManufacturer Sdn Bhd(730997-K)",Lim Chong Mow,Managing Director,Lim Chong Mow,Managing Director,1994,"16 - 18, Persiaran Industri Bercham 10, Kawasan Perindustrian Ringan Bercham, Ipoh

",31400,Perak,Malaysia,605-546 2829/545 2829,605-546 1830,"
cmlimmf88@gmail.com
,","
www.cmlim.com,","PET, PP, HDPE, OPP
","Lamination, Silicone Coating Release Packing List, Tamper Evident Security Tape
","OPP Release Tape, HDPE Release Tape, Double Sided Sealing Tape, PET Release Tape, Slitting for - PET, HDPE, OPP Film, PET Films and Speciality PET Film, CPP Film and Speciality CPP Film, PET Film for Industrial Release Liner, Double Side Seal Tape
","Australia, Thailand, Vietnam
",,,,,
"
Canter Industries Sdn Bhd(639605-D)",Lee Yew Keong,Executive Director,Lee Yew Keong,Executive Director,2004,"63 & 64, Lorong Makmur 13/1, Taman Perindustrian Makmur, Lunas

",9600,Kedah,Malaysia,604-484 3094,604-484 1088,"
cantermy@cantergroup.net
,","
www.cantergroup.net,","ISO 9001 : 2008, ISO 14001 : 2004
","ABS, PA, PE, PP, PC, PMMA, GPPS, HIPS, PBT, PPS, COP
","Recycling
","Recycle Plastic Resins
",,,,,
"
Canzo Sdn Bhd",Tan Beng Wah,Director,,,,"Lot 2244, Jalan Rajawali, Batu 9, Kampung Kebun Baru, Telok Penglima Garang

",42500,Kuala Langat,Selangor,Malaysia,603-3122 1988,603-3122 2188,"
bwtwn@aikjoo.com.my
,","PE
","Film Blowing/Film Extrusion , Lamination",",Films and Bags",None,None,None,None,,
"
Care Recycling Sdn Bhd(681898 V)",Tan Sin Chye,Managing Director,Tan Sin Chye,Managing Director,1998,"Lot PT BM/93/62, Muikim 12, Jalan Bukit Tambun, Juru, Bukit Mertajam

",14100,Pulau Pinang,Malaysia,604-508 2077,604-508 2077,"
tsinc63@yahoo.com
,","ABS, PC, PE, PP, HIPS, PP, PPE, PC, HDPE
","Compounds , Recycling, Crushing, Repelletising
","Recycle Plastics
",None,None,,,,,
"
CDG Products Sdn Bhd(1088165-D)",Jeremy Charles Gray,Leong Chee Mun,,General Manager,2014,"9, Jalan Sungai Kayu Ara, 32/31 Berjaya Industrial Park Seksyen 32, Shah Alam

",40460,Selangor,Malaysia,603-5740 1106/1107/1108,603-5740 1109,"
cmleong@cdg.com.my
,","
www.cdg.com.my,","CDG
","ISO 9001 : 2008
","ABS ,EVA, PA, PBTP, PC, PE, PET, PF, PMMA, POM, PP, PPO, PS, PVC, SAN, ASA, Thermoset Polyester, (DMC, SMC) Elastomer
","Blow Moulding, Compression Moulding, Injection Moulding , Spray-painting,Pad-printing, Ultrasonic Welding, Pad-printing, Ultrasonic Welding, Mould Making, Assembly
","Electrical and Electronic Products and Parts, Lamp Shades, Street Lights/Lanterns, Junction Boxes, Chain, Precision Injection Parts, OEM Manufacturing (Blow Moulding, Injection Moulding, Compresion Moulding, Vacuum Forming and Mould Making), Jerry Cans, PVC Bottles, PET Bottles, Hanger Rack, Clothes Hanger, Automotive Parts, Motorcycle Helmets, Household Products
,Containers and Bottles,Containers and Bottles,Electrical and Electronics, Houseware, Industrial and Construction, Mechanical, OEM Manufacturing, Textile, Apparel and Bags",,,,
"
Central Melamineware Sdn Bhd(172944-V)",Tan Hong Cheng,Managing Director,Haslinda Poon,Export Marketing Executive/Administration Manager,1988,"Railway Wharf, Jalan Maharaja Lela, Teluk Intan

",36000,Perak,Malaysia,605-622 3849,605-621 5662,"
central@centralmelamine.com.my
,","
www.central melamine.com.my,","EAGLE
","MF, Melamine Moulding Compound
","Compression Moulding , 
","Melamine Tableware - Wide Range of Cups/Saucers, Kiddie Ware, Plates, Bowls, Kitchen Tools, Casseroles, Serving Trays, Compartment Trays, Coasters Matched to Clients Requirements
, Houseware, OEM Manufacturing",,,,,
"
Cew Sin Plastic Pipe Sdn Bhd(243310-M)",Wong Sek Kheong,Managing Director,Ng Chong Lim,General Manager (Sales & Marketing),1992,"Lot 305010, Jalan Chepor 11/10, Pusat Industri Seramik Fasa 2, Chepor


",31200,Chemor,Perak,Malaysia,605-201 1273,605-201 1062,"
sycheong@cewsin.com.my
,","
www.cewsin.com.my,","CS
","ISO 9001 : 2015
","PVC, HDPE, PP-R
",,,,,
"
Chai Heng Plastic Manufacturing(M) Sdn Bhd(575496-U)",Chee Kim Cheng,Chief Executive Officer,Chee Lai Chuen,Director,1988,"PLO 660, Jalan Platinium 1, Kawasan Perindustrian Pasir Gudang, Pasir Gudang",81700,Johor,Malaysia,607-288 8291,"
cheelc@chaiheng.net; chaiheng88@gmail.com
,","
www.chaiheng.com,","Chai Heng
","ISO 9001 : 2000, MS 1513 : Part : Sub Parts : 2001
","HDPE, PP, PPC
","Blow Moulding, Injection Moulding , 
","Bottle, Food Packaging Products and Lubricant Packaging Products, Plastic Bags (PP, HDPE, LDPE), Plastic Pails (18L, 20L)
",,,,,
"
Changhuat Plastic Industries (Senai) Sdn Bhd(169263-W)",James Lim Lai Huat,Chief Executive Officer,Sam Ng,Business Development Director,1988,"Plo 78, Jalan Cyber 5, Kawasan Perindustrian Senai III, Senai

",81400,Johor,Malaysia,607-599 7888,607-599 7999,"
iris_chen@changhuat.com.my
,","KENWOOD, PIONEER, PANASONIC, JVC, HP. SONY, TOSHIBA, KOTATSU, GE, SHIMANO
","ISO 9001, ISO 14001, ISO 13485, TS16949
","Precision Injection Moulding , Spray-painting, Mould Fabrication, Assembly, UV Laser
","Plastic Components for Consumer Electronic Appliance, Office Appliance, Automotive, Medical Devices, Fishing Reel, Bicycle Components and Sports Equipment
,Electrical and Electronics, Medical, Toys, Games, Sports","Japan, Singapore, United States, United Kingdom
",,,,,
"
Chau Yang Plastics Industry Sdn Bhd(503217 A)",Tan Kock Choon,Manager,None,None,1978,"1, Jalan Bistari 7, Taman Industri Jaya, Skudai, Johor Bahru

",81300,Johor,Malaysia,607-512 7668,607-512 5778,"
info@chauyang.com.my; info1@chauyang.com.my 
,","
www.chauyangplastics.com,","HDPE
","Film Blowing/Film Extrusion 
","HDPE Shopping Bags, HDPE Sack Bags, HDPE Bags on Rolls
,Films and Bags","United Kingdom, France, Spain, Vanuatu, Ukraine, Australia, South Africa
",None,None,,,
"
Chee Wan Plastic Industries Sdn Bhd",Ong Seoh Chew,Chairman,Ong Beng Teik,Managing Director,2000,"20, Jalan Nafiri 1, Kawasan Industri Ringan, Sungai Bakap

",14200,Pulau Pinang,Malaysia,604-582 5130,604-582 4876,"
www.cheewan.com,","DIAMOND
","ABS, PP, PS, SAN
","Injection Moulding
","Toilet Products, Kitchenware and Tableware (Specialise in praying items - Plates, Bowls, Cups)
,Bathroom/Toilet, Houseware","Hong Kong, Canada, Thailand, Singapore
",,,,,
"
Chemtube (M) Sdn Bhd(365676-D)",Lim Seow Kiang,Managing Director,None,None,1995,"Lot 6539, Jalan Sungai Keramat 3, Taman Klang Utama B, Klang

",42100,Selangor,Malaysia,603-3291 9818,603-3291 9868,"
chemtube@chemtube.com
,","
www.chemtube.com,","THERMO-SHRINK, CHEMTUBE
","ISO/TS 16949 : 2002 (TUV Rheinland)
","PA, PE, PP, TPE, TPU
","Profile Extrusion, Co-Extrusion, Thermoforming , Irradiation, Corrugator, Expanders
","Heat-Shrink Tubes, Single and Multi-Layered Fuel Tubes, Corrugated Tubes, Pneumatic and Air Brake Tubes, Precision Tubes-Single and Multi-layered, Monofilament, Profile, Customised Products, A Raymond Quick Connectors, Thermoforming, Potable Hot WaterTubes, ""Oetiker"" Clamps
,Electrical and Electronics, Industrial and Construction, OEM Manufacturing, Transportation","Thailand, Philippines, Indonesia, United States, Singapore
",,,
"
Chianta Plastic Industries Sdn Bhd(86901-M)",Teoh Cha Hai,Managing Director,None,None,1989,"Lot 332, PKNK 2/5, Kawasan Perindustrian Taman Ria Jaya, Sungei Petani

",8000,Kedah,Malaysia,604-4416 688,604-4416 699,"
customer@chianta.com
,","
www.chianta.com,","KENTRA, SPP
","PVC, HDPE
","Injection Moulding, Pipe Extrusion , 
","PVC Pipes and Fittings, HDPE Pipes
, Industrial and Construction",None,None,,,
"
Chiap Hup Known You Agriculture Sdn Bhd(27059-U)",Lee Wai Long,General Manager,Lee Wai Long,General Manager,1976,"Lot PTD 16045, Jalan Teknologi 8, Kawasan Perindustrian Tangkak, Tangkak

",84900,Johor,West Malaysia,606-9786 737/8737,606-978 9737,"
chiaphup@tm.net.my; lwbg@streamyx.com
,","
www.chiap-hup.com,","CHIAP HUP
","PE, PP, PS
","Film Blowing/Film Extrusion , Vacuum Forming
","Hybrid Seeds, Plastics Mulching Sheet, Nursery Trays, Raffia Strings, Peat Moss, Organic Fertiliser and Horticulture, Agricultural",,,,,
"
Chiga Light Industries Sdn Bhd(38496-U)",Lim Keng Hua,Group Deputy General Manager - Plastics Division,None,None,1978,"Plo 15, Kawasan PerindustrianParit Raja, Batu Pahat

",86400,Johor,Malaysia,607-454 8331,607-454 5666,"
chigalight@hartapack.com
,","
www.hartapack.com,","ISO 9001 : 2015, ISO 22000: 2005, ISO 14001 : 2015, OHSAS 18001 : 2007, GMP, HACCP
","PP, HDPE, LDPE, LLDPE
","Film Blowing/Film Extrusion
","LDPE, LLDPE, PP, HDPE Bags for Various Sizes with Printing of 1 Colour to 12 Colours Gravure, 1 Colour to 3 Colours for Flexo Printing, Printing Sheets/Tubing in Roll, Garbage Bags, Hanger Bags, Side Sealed Bags (Ultra sonic seal), Envelope Bags, Security Bags, Singlet Bags/T-shirt Bags, Pillow-case Bags and Anti Static Bags
,Films and Bags, Textile, Apparel and Bags","Singapore, Myanmar, Philippines,
",None,,,
"
Chin Lean Plastic Factory Sdn Bhd(049922-V)",Chah Ching Boo,Executive Director,Ong Kok Cheng,Executive Director,1979,"Lot 5005, Jalan Chui Chak, Langkap

",36700,Perak,Malaysia,605-659 3444/1428/934,605-659 3175/5446,"
chinlean@tm.net.my; chinlean@hotmail.com
,","
www.chinlean.com,","CL, CHINLEAN
","SIRIM:BS 3505/3506/4514/5255/4660, MS 678 Pt1 & 2, MS 978, MS 1063, MS 1034, MS 762 & AZ/NZ 51869, MS 628
","PVC, HDPE
","Injection Moulding, Rotational Moulding, Extrusion , 
",,,,,
"
Chin Seng Plastic Industries Sdn Bhd(34296-X)",Low Chin Cheow,Chief Executive Officer,Ricky Low Wen Loong,Marketing Manager,1972,"6, Jalan SS 13/3A, Subang Jaya Industrial Area, Subang Jaya

",47500,Selangor,Malaysia,603-5633 1619/5633 4705,603-5633 7587,"
siti@chin-seng.com; vivian@chin-seng.com
,","
www.chin-seng.com,","CS
","HACCP
","PE, PP, PS, PVC, PETG
","Blow Moulding, Injection Moulding
",,,,,
"
Ching Kuan Holdings Sdn Bhd(147289-T)",Tan Ching Kuan,Chairman,Ethan Tan,Managing Director,"Mile 16 ½, Jalan Buk, Off Jalan Tuaran Lama, Telipok
",88450,Sabah,Malaysia,6088-788 999,6088 - 793 111,"
info@mytomher.com; ellen.tan1@mytomher.com
,","
www.tomher.com.my,","TOMHER
","SIRIM & ISO 9001 : 2000
","HDPE, LLDPE
","Pipe Extrusion, Rotational Moulding , Rotational Moulding
","HDPE Water Tanks, HDPE Spiral Pipes, HDPE Pipes, Rainwater Harvester, FFB Gravity Conveyor, HDPE Septic Tanks
, Industrial and Construction",,,,,
"
Chips Plastic Sdn Bhd(293353-T)",Tiger Tan,None,None,None,1990,"34, Lorong Teras Jaya 3, Taman Industri Ringan Teras Jaya, Butterworth

",13400,Pulau Pinang,Malaysia,604-3311 778,604-3312 778,"CHIPS
","Recycling
","Recycled Products
",None,None,None,None,,,,
